index,inference,confidence
0,airliner,88.67
1,"passenger car, coach, carriage",37.64
2,fountain pen,24.14
3,Egyptian cat,57.65
4,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",64.0
5,"liner, ocean liner",94.35
6,"garbage truck, dustcart",80.76
7,airliner,88.67
8,"passenger car, coach, carriage",37.64
9,"liner, ocean liner",94.35
10,"garbage truck, dustcart",80.76
11,"passenger car, coach, carriage",37.64
12,"garbage truck, dustcart",80.76
13,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",64.0
14,"liner, ocean liner",94.35
15,fountain pen,24.14
16,airliner,88.67
17,"passenger car, coach, carriage",37.64
18,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",64.0
19,"garbage truck, dustcart",80.76
20,airliner,88.67
21,"passenger car, coach, carriage",37.64
22,Egyptian cat,57.65
23,airliner,88.67
24,"passenger car, coach, carriage",37.64
25,fountain pen,24.14
26,airliner,88.67
27,"passenger car, coach, carriage",37.64
28,fountain pen,24.14
29,airliner,88.67
30,"passenger car, coach, carriage",37.64
31,fountain pen,24.14
32,airliner,88.67
33,"passenger car, coach, carriage",37.64
34,fountain pen,24.14
35,fountain pen,24.14
36,fountain pen,24.14
37,fountain pen,24.14
38,"liner, ocean liner",94.35
39,"passenger car, coach, carriage",37.64
40,airliner,88.67
41,"passenger car, coach, carriage",37.64
42,airliner,88.67
43,fountain pen,24.14
44,"garbage truck, dustcart",80.76
45,airliner,88.67
46,"passenger car, coach, carriage",37.64
47,fountain pen,24.14
48,Egyptian cat,57.65
49,airliner,88.67
50,"passenger car, coach, carriage",37.64
51,airliner,88.67
52,"passenger car, coach, carriage",37.64
53,fountain pen,24.14
